,puissance,f0,excursion,LI,c0Montant,c1Montant,c2Montant,dureeTransitoireMontant,aucMontant,penteMaxMontant,meanMontant,varianceMontant,skewnessMontant,kurtosisMontant,dureeTransitoireStable,aucStable,penteMaxStable,meanStable,varianceStable,skewnessStable,kurtosisStable,c0Descendant,c1Descendant,c2Descendant,dureeTransitoireDescendant,aucDescendant,penteMaxDescendant,meanDescendant,varianceDescendant,skewnessDescendant,kurtosisDescendant,numEmetteur,numFenetre,navire
0,-87.5,433.0,15.5,1090.0,-31003045627.596306,-54270036.81362626,-23749.57523603145,2.254375000000598e-07,5.280353900556367,0.00014076405594278625,-0.7649281116332258,-0.5342308161835225,0.001463938031863799,1.8187980251815688e-07,1.1233562499999954e-05,358.183615479258,0.00011586121733118829,-1.0665619304637517,2.7828726657048977,0.001992818415506478,2.012866159880079e-09,782979147676.1747,1431942901.704955,654698.3019251607,2.812500000004981e-08,0.22169111745526698,0.00022520715233304023,0.2406031818724999,-1.2208630931971975,0.0004932095735869585,1.0121792117074499e-07,0,,1
1,-67.5,428.5,24.5,1105.0,-1622714383.4141204,-2664807.5608843276,-1094.0289490483092,8.639375000000843e-07,20.92669529748927,1.7812231911037762e-05,-0.5780423164356682,-0.8187428638469778,0.0015138948172150504,1.8411104433115656e-07,1.0570000000000544e-06,34.39507702110434,0.00013096679011561784,-0.06230657487217419,-0.1288726615582103,0.0020337645175709813,1.481258206151682e-09,-337481873.95144945,-492110.51227621426,-179.39500260197755,1.544437500000011e-06,36.09226928854962,0.0001962468458865372,-0.5326059238727802,-0.8453787335664811,0.0014605608016629817,9.363609676106941e-08,1,,1
2,-92.5,434.5,15.5,1105.0,-34336626951.956818,-60106269.65168027,-26304.006215322286,2.031249999999863e-07,4.309801454249713,0.00014501080810990549,-0.6231672066089501,-0.8001603206981707,0.0013261401463463144,2.129884817416412e-07,1.5874999999992458e-08,0.305211512783323,9.229634640733246e-05,-1.8375450750178157,6.127054469661461,0.0012003906805077183,3.4137787277585847e-09,822699502338.1329,1504596001.089086,687921.0210249212,4.625000000005059e-08,0.30342638967256713,0.00017889796074821066,0.599304261159785,-1.2890347237516897,0.00041033917299248727,1.6538617101492288e-07,2,,1
3,-90.0,428.5,21.5,1095.0,845655788753.3196,1546726923.5325065,707251.167643081,4.624999999994217e-08,0.3031304703027102,8.203649468773691e-05,0.5994314959898462,-1.291499018663204,0.00041019369371144484,1.6560729054758256e-07,1.5874999999992458e-08,0.30528038051211764,9.290162794571566e-05,-1.7489842864503902,5.600285679652496,0.0012007134201194535,3.2970819146991427e-09,-1672521639.0191915,-2728315.930375719,-1112.6454046055387,8.171250000000045e-07,20.155183458006125,0.0001603843851440684,-0.5579362016406726,-0.852669346194427,0.0015416039378153773,1.648550394470058e-07,3,,1
4,-92.5,433.0,26.0,1105.0,-1622714383.4141204,-2664807.5608843276,-1094.0289490483092,8.639375000000843e-07,20.92669529748927,1.7812231911037762e-05,-0.5780423164356682,-0.8187428638469778,0.0015138948172150504,1.8411104433115656e-07,1.5874999999992458e-08,0.30528038051211764,9.290162794571566e-05,-1.7489842864503902,5.600285679652496,0.0012007134201194535,3.2970819146991427e-09,-11981721.686493436,-13777.00066485063,-3.958777306203819,6.378187500000036e-06,130.8541530814329,7.993714569979877e-05,-0.48034010885603123,-0.9248235631020338,0.0012822416674181537,3.7761022909555344e-08,4,,1
5,-75.0,428.5,14.0,1105.0,-15665805.573609907,-19299.367588742643,-5.94237200729268,5.7191874999999595e-06,115.3728091075971,1.1177313456045643e-05,-0.48814214193474187,-0.8479912261966263,0.0012608081564823713,4.5349198039612e-08,4.328243749999994e-05,1114.9834603563334,6.655236979386404e-05,-0.20854205089203195,0.193938906102181,0.0016100401465388803,1.327044066192724e-09,-337481873.95144945,-492110.51227621426,-179.39500260197755,1.544437500000011e-06,36.09226928854962,0.0001962468458865372,-0.5326059238727802,-0.8453787335664811,0.0014605608016629817,9.363609676106941e-08,5,,1
6,-92.5,436.0,21.5,1110.0,-15089779733.653101,-26412779.72452237,-11558.068206149199,3.5793750000003184e-07,9.087254060331896,3.480873956779036e-05,-0.9571593148460936,-0.2176045647674556,0.0015867104938371362,1.6962598371017374e-07,4.328243749999994e-05,1114.9834603563334,6.655236979386404e-05,-0.20854205089203195,0.193938906102181,0.0016100401465388803,1.327044066192724e-09,-15561274.505908938,-17865.847823025935,-5.1263750891185085,5.653062499999962e-06,114.47002481770346,0.00012489606740608244,-0.4832169415357454,-0.8495411280728433,0.00126557440862048,4.351065183752438e-08,6,,1
7,-87.5,422.5,18.5,1095.0,-1631530337.3961363,-2679140.7696681353,-1099.8541607695554,9.226875000000606e-07,23.124654012222454,0.00019341455555882923,-0.6417091858908472,-0.7473816394064063,0.0015664060212600562,1.9405027847273777e-07,5.669625000000026e-06,199.57043811903716,0.00019596939063741374,-0.9140651989642136,1.2513655041276133,0.0021999954275427696,2.05907988872472e-09,-337481873.95144945,-492110.51227621426,-179.39500260197755,1.544437500000011e-06,36.09226928854962,0.0001962468458865372,-0.5326059238727802,-0.8453787335664811,0.0014605608016629817,9.363609676106941e-08,7,,1
8,-72.5,428.5,20.0,1080.0,-11976470.757268867,-14732.991795806001,-4.529447872425462,6.378187500000036e-06,130.85412848520465,4.106219131947732e-05,-0.4803463051854119,-0.9247522849451557,0.001282242391573568,3.7760874624454006e-08,4.328243749999994e-05,1114.9834522502292,6.273739525860167e-05,-0.2085541457028428,0.1939745385425975,0.0016100401280381412,1.3270469777693109e-09,-1635042298.2599573,-2667236.0850578104,-1087.7600494824142,9.226874999999522e-07,23.124902233531945,0.00033296440006341777,-0.6417309405658326,-0.746946964827369,0.0015664064759941944,1.9403591383419416e-07,8,,1
9,-80.0,425.5,27.5,1100.0,-21000608752.062546,-36761008.24558206,-16087.290440299543,2.6312500000006366e-07,5.7519845992907275,4.820667428748204e-05,-0.6719057683141362,-0.6635405596689901,0.0013662578278235112,2.0185844296131873e-07,5.937499999910528e-09,0.11800704944957632,4.173794116786871e-05,-2.6721684003517003,7.751566147071028,0.0012408254106315855,1.2169865128632006e-09,-1672521639.0191915,-2728315.930375719,-1112.6454046055387,8.171250000000045e-07,20.155183458006125,0.0001603843851440684,-0.5579362016406726,-0.852669346194427,0.0015416039378153773,1.648550394470058e-07,9,,1
